route_id	substrate	substrate_label	corrected_ATP_auxiliary_equivalents_per_product_Cmol	corrected_NADH_auxiliary_equivalents_per_product_Cmol	corrected_NADPH_auxiliary_equivalents_per_product_Cmol	corrected_total_reducing_auxiliary_equivalents_per_product_Cmol	corrected_positive_auxiliary_cofactor_burden	cofactor_accounting_basis	stage
5860e757947bcfae	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
f87ab871ab17f934	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
b1473ff8c06d8653	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
b8ab7e2107838068	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
bd3c2b0e18cd33bf	methanol	Methanol	0.333333	0.0	-2.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
747c8de85f3048e3	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
0f9379d9aaa4087d	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
d2b75bfdc6528563	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
8b3680b5b01e5805	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
40e7f540ecef770d	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
4fd6272ad6f7b2c7	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
1d770a8400cb5146	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
46bb747a576acbd0	methanol	Methanol	0.333333	-1.0	-1.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
e8ce4e0165e6751c	methanol	Methanol	0.333333	-2.0	0.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	retained
9f61a8614ce498c2	methanol	Methanol	0.333333	-2.0	0.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	retained
0e9d728694f4b045	methanol	Methanol	0.333333	-2.0	0.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
1973a8a9faa3a2ee	methanol	Methanol	0.333333	-2.0	0.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	retained
112f5f3b3d6a7f11	methanol	Methanol	0.333333	-2.0	0.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
bab0d249e9f7b2ad	methanol	Methanol	0.333333	-2.0	0.0	-2.0	0.333333	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
27defcf423927ec4	methanol	Methanol	0.166667	0.0	-2.0	-2.0	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
d43230daaecc70d2	methanol	Methanol	0.166667	-0.666667	-1.333333	-2.0	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
e67989da87e16c68	methanol	Methanol	0.166667	-0.666667	-1.333333	-2.0	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
2d0e305e2d03cbfd	methanol	Methanol	0.166667	-0.666667	-1.333333	-2.0	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
10db8d683a1dfd0d	methanol	Methanol	0.166667	-0.666667	-1.333333	-2.0	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
8e2e4b9f77a9c73b	methanol	Methanol	0.166667	-0.666667	-1.333333	-2.0	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
09d6fe89b9dc0c22	methanol	Methanol	0.166667	-0.666667	-1.333333	-2.0	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
102205a5802d1b62	methanol	Methanol	0.166667	-0.666667	-1.333333	-2.0	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
ecb4dd6b00f310c9	methanol	Methanol	0.166667	-0.666667	-1.333333	-2.0	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
effaa5dafd2c847a	methanol	Methanol	0.166667	-1.333334	-0.666667	-2.000001	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
755fd8b1ead0daf3	methanol	Methanol	0.166667	-1.333334	-0.666667	-2.000001	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
dd53b65f12453070	methanol	Methanol	0.166667	-1.333334	-0.666667	-2.000001	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
b441146e994b692d	methanol	Methanol	0.166667	-1.333334	-0.666667	-2.000001	0.166667	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
