substrate	carbon_class	candidate_number	reaction_code	reaction_id	pathway_count	step_min	step_q1	step_median	step_mean	step_q3	step_max	single_reaction_pathway_count	single_reaction_step_median	le20_pathway_denominator	le20_occurrence_count	le20_occurrence_percent
formaldehyde	C3	11	11_H4F	RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	58	20.0	21.0	26.0	25.20689655172414	28.0	30.0	5	25.0	42	8	19.047619047619047
formaldehyde	C4	11	11_H4F	RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	161	18.0	30.0	33.0	34.83229813664596	35.0	64.0	8	29.5	40	2	5.0
formaldehyde	C2	12	12_H4M	RXN-2882	86	16.0	24.25	27.0	27.38372093023256	30.0	59.0	5	24.0	48	5	10.416666666666666
formaldehyde	C3	12	12_H4M	RXN-2882	58	20.0	21.0	26.0	25.20689655172414	28.0	30.0	5	25.0	42	8	19.047619047619047
formaldehyde	C4	12	12_H4M	RXN-2882	161	18.0	30.0	33.0	34.77639751552795	35.0	64.0	8	29.5	40	2	5.0
formaldehyde	C2	13	13_KPA	KETOPANTOALDOLASE-RXN	80	17.0	25.0	27.5	28.1125	31.0	59.0	5	25.0	48	4	8.333333333333334
formaldehyde	C3	13	13_KPA	KETOPANTOALDOLASE-RXN	50	20.0	25.0	27.0	26.64	29.0	33.0	5	26.0	42	2	4.761904761904762
formaldehyde	C4	13	13_KPA	KETOPANTOALDOLASE-RXN	106	19.0	29.0	32.0	36.424528301886795	36.75	66.0	6	42.0	40	1	2.5
formate	C2	1	01_FDR	FORMALDEHYDE-DEHYDROGENASE-RXN	110	10.0	26.0	33.0	32.89090909090909	40.0	55.0	5	17.0	10	5	50.0
formate	C3	1	01_FDR	FORMALDEHYDE-DEHYDROGENASE-RXN	110	5.0	24.0	26.5	27.5	34.0	40.0	5	6.0	27	15	55.55555555555556
formate	C4	1	01_FDR	FORMALDEHYDE-DEHYDROGENASE-RXN	176	12.0	29.75	36.0	38.81818181818182	45.0	74.0	8	15.5	9	5	55.55555555555556
formate	C2	2	02_GAR	GARTRANSFORMYL2-RXN	110	22.0	30.0	36.5	36.736363636363635	41.0	62.0	5	25.0	10	0	0.0
formate	C3	2	02_GAR	GARTRANSFORMYL2-RXN	110	17.0	30.0	34.0	33.654545454545456	37.0	45.0	5	37.0	27	1	3.7037037037037037
formate	C4	2	02_GAR	GARTRANSFORMYL2-RXN	176	24.0	35.0	40.0	43.73295454545455	56.0	69.0	8	34.0	9	0	0.0
formate	C2	3	03_AIC	RXN-10066	110	22.0	30.0	36.0	36.40909090909091	40.75	61.0	5	25.0	10	0	0.0
formate	C3	3	03_AIC	RXN-10066	110	17.0	30.0	34.0	33.654545454545456	37.0	45.0	5	36.0	27	1	3.7037037037037037
formate	C4	3	03_AIC	RXN-10066	176	24.0	35.0	40.5	43.88636363636363	56.0	74.0	8	34.0	9	0	0.0
formate	C2	6	06_PFL	PYRUVFORMLY-RXN	110	17.0	33.0	38.5	39.00909090909091	42.75	62.0	5	25.0	10	4	40.0
